,Actual value,Predicted value
3200,0,1.119833274078419
1176,0,0.4942086951460132
1002,0,0.24925098794465406
677,0,0.264060379660914
3080,0,1.1166590847197582
4809,3,8.354489916854517
3116,0,1.1211357742222918
5932,0,1.4782664767442686
2044,0,0.14017133560105277
2193,0,-0.09414933772555756
3572,0,2.1017335425184154
3003,0,1.136172978336071
2921,0,-0.4520697539997043
5477,0,1.4819325007496906
2002,0,0.24105579119431653
1003,2,1.5002499111875478
2759,0,5.9632432953933545
504,58,31.703468356354357
2616,0,-0.435864338204786
5951,0,1.514175945938078
2153,1,1.3461385635434082
5648,0,1.7282107563764324
5369,14,5.3815480163103135
2965,0,-0.4484058554317536
2514,1,-0.5131970012263511
4016,0,1.3989874863583198
4993,0,1.233957885063297
1241,1,-0.0959092843006566
2590,0,0.04734792236280416
2664,0,-0.19933190837531956
3043,0,1.4436814373864886
740,0,0.5384097226345324
1415,0,0.09792502628112842
4420,0,1.4999658043901265
4031,0,1.59231563118438
1623,0,-0.10825821250629142
5208,0,2.048895006277057
4208,0,1.7281129815667047
3647,0,1.825867627275282
